"ID","Model","LOO_RMSE","LOO_MAE"
"M1","OLS",4.18242754976526,3.4563567384434
"M2","Ridge",3.61392214302037,2.91475213323073
"M3","LASSO",3.67272967837866,3.10899275454677
"M4","Elastic net",3.66179430266041,3.01251826577557
"M5","Bayes LM (Gaussian)",4.17076496474122,3.29166721137909
"M6","Bayesian ridge",4.03519166101511,3.16016949798145
"M7","Bayesian LASSO",3.9843377822227,3.11110400305508
"M8","Horseshoe",3.84291554961336,3.0516614788277
"M10","Beta regression",4.24633262583181,3.40097733069766
"M11","Spatial ICAR",4.37659264563307,3.57054701196249
"M12","BART",7.52916971698851,6.78669644872314
"M13","Gaussian process",4.88001020745522,3.51707466593285
"M14","Random forest",3.8108553942572,3.07829646078432
"M15","XGBoost",4.14262928926595,3.16271761782029
